date,Unnamed: 0,id,store_nbr,family,sales,onpromotion,city,state,type,cluster,oil,holiday_type,locale,locale_name,description,transferred,holiday,pred_sales
2017-07-31,56034,2972376,1,AUTOMOTIVE,8.0,0,Quito,Pichincha,D,13,50.21,,,,,,0,4.203951609119864
2017-08-01,56067,2974158,1,AUTOMOTIVE,5.0,0,Quito,Pichincha,D,13,49.19,,,,,,0,4.449493568874266
2017-08-02,56100,2975940,1,AUTOMOTIVE,4.0,0,Quito,Pichincha,D,13,49.6,,,,,,0,4.2638653806212465
2017-08-03,56133,2977722,1,AUTOMOTIVE,3.0,0,Quito,Pichincha,D,13,49.03,,,,,,0,4.244924524387753
2017-08-04,56166,2979504,1,AUTOMOTIVE,8.0,0,Quito,Pichincha,D,13,49.57,,,,,,0,4.25512733743886
2017-08-05,56199,2981286,1,AUTOMOTIVE,5.0,0,Quito,Pichincha,D,13,49.56701492537314,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas,False,1,4.256040918231169
2017-08-06,56232,2983068,1,AUTOMOTIVE,6.0,0,Quito,Pichincha,D,13,49.46850746268657,,,,,,0,4.255026448275328
2017-08-07,56265,2984850,1,AUTOMOTIVE,7.0,0,Quito,Pichincha,D,13,49.37,,,,,,0,4.254523274953327
2017-08-08,56298,2986632,1,AUTOMOTIVE,4.0,0,Quito,Pichincha,D,13,49.07,,,,,,0,4.254145517644456
2017-08-09,56331,2988414,1,AUTOMOTIVE,7.0,0,Quito,Pichincha,D,13,49.59,,,,,,0,4.253740068901832
2017-08-10,56364,2990196,1,AUTOMOTIVE,9.0,0,Quito,Pichincha,D,13,48.54,Holiday,National,Ecuador,Primer Grito de Independencia,True,1,4.253326623767775
2017-08-11,56397,2991978,1,AUTOMOTIVE,1.0,0,Quito,Pichincha,D,13,48.81,Transfer,National,Ecuador,Traslado Primer Grito de Independencia,False,1,4.252914696525315
2017-08-12,56430,2993760,1,AUTOMOTIVE,6.0,0,Quito,Pichincha,D,13,48.79179104477612,,,,,,0,4.252503317867984
2017-08-13,56463,2995542,1,AUTOMOTIVE,1.0,0,Quito,Pichincha,D,13,48.19089552238806,,,,,,0,4.252091901941476
2017-08-14,56496,2997324,1,AUTOMOTIVE,1.0,0,Quito,Pichincha,D,13,47.59,,,,,,0,4.251680493961801
2017-08-15,56529,2999106,1,AUTOMOTIVE,4.0,0,Quito,Pichincha,D,13,47.57,Holiday,Local,Riobamba,Fundacion de Riobamba,False,1,4.251269129693689
2017-07-31,56035,2972377,1,BABY CARE,0.0,0,Quito,Pichincha,D,13,50.21,,,,,,0,0.0
2017-08-01,56068,2974159,1,BABY CARE,0.0,0,Quito,Pichincha,D,13,49.19,,,,,,0,0.0
2017-08-02,56101,2975941,1,BABY CARE,0.0,0,Quito,Pichincha,D,13,49.6,,,,,,0,0.0
2017-08-03,56134,2977723,1,BABY CARE,0.0,0,Quito,Pichincha,D,13,49.03,,,,,,0,0.0
2017-08-04,56167,2979505,1,BABY CARE,0.0,0,Quito,Pichincha,D,13,49.57,,,,,,0,0.0
2017-08-05,56200,2981287,1,BABY CARE,0.0,0,Quito,Pichincha,D,13,49.564029850746266,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas,False,1,0.0
2017-08-06,56233,2983069,1,BABY CARE,0.0,0,Quito,Pichincha,D,13,49.4655223880597,,,,,,0,0.0
2017-08-07,56266,2984851,1,BABY CARE,0.0,0,Quito,Pichincha,D,13,49.37,,,,,,0,0.0
2017-08-08,56299,2986633,1,BABY CARE,0.0,0,Quito,Pichincha,D,13,49.07,,,,,,0,0.0
2017-08-09,56332,2988415,1,BABY CARE,0.0,0,Quito,Pichincha,D,13,49.59,,,,,,0,0.0
2017-08-10,56365,2990197,1,BABY CARE,0.0,0,Quito,Pichincha,D,13,48.54,Holiday,National,Ecuador,Primer Grito de Independencia,True,1,0.0
2017-08-11,56398,2991979,1,BABY CARE,0.0,0,Quito,Pichincha,D,13,48.81,Transfer,National,Ecuador,Traslado Primer Grito de Independencia,False,1,0.0
2017-08-12,56431,2993761,1,BABY CARE,0.0,0,Quito,Pichincha,D,13,48.77358208955224,,,,,,0,0.0
2017-08-13,56464,2995543,1,BABY CARE,0.0,0,Quito,Pichincha,D,13,48.172686567164185,,,,,,0,0.0
2017-08-14,56497,2997325,1,BABY CARE,0.0,0,Quito,Pichincha,D,13,47.59,,,,,,0,0.0
2017-08-15,56530,2999107,1,BABY CARE,0.0,0,Quito,Pichincha,D,13,47.57,Holiday,Local,Riobamba,Fundacion de Riobamba,False,1,0.0
2017-07-31,56036,2972378,1,BEAUTY,3.0,0,Quito,Pichincha,D,13,50.21,,,,,,0,3.1831423463260586
2017-08-01,56069,2974160,1,BEAUTY,4.0,0,Quito,Pichincha,D,13,49.19,,,,,,0,3.1811651963527408
2017-08-02,56102,2975942,1,BEAUTY,2.0,1,Quito,Pichincha,D,13,49.6,,,,,,0,3.179189274449547
2017-08-03,56135,2977724,1,BEAUTY,5.0,1,Quito,Pichincha,D,13,49.03,,,,,,0,3.177214579853685
2017-08-04,56168,2979506,1,BEAUTY,7.0,1,Quito,Pichincha,D,13,49.57,,,,,,0,3.1752411118028347
2017-08-05,56201,2981288,1,BEAUTY,3.0,1,Quito,Pichincha,D,13,49.5610447761194,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas,False,1,3.1732688695351507
2017-08-06,56234,2983070,1,BEAUTY,2.0,1,Quito,Pichincha,D,13,49.46253731343283,,,,,,0,3.1712978522892605
2017-08-07,56267,2984852,1,BEAUTY,5.0,1,Quito,Pichincha,D,13,49.37,,,,,,0,3.1693280593042643
2017-08-08,56300,2986634,1,BEAUTY,2.0,1,Quito,Pichincha,D,13,49.07,,,,,,0,3.1673594898197353
2017-08-09,56333,2988416,1,BEAUTY,4.0,1,Quito,Pichincha,D,13,49.59,,,,,,0,3.165392143075719
2017-08-10,56366,2990198,1,BEAUTY,10.0,1,Quito,Pichincha,D,13,48.54,Holiday,National,Ecuador,Primer Grito de Independencia,True,1,3.1634260183127325
2017-08-11,56399,2991980,1,BEAUTY,1.0,1,Quito,Pichincha,D,13,48.81,Transfer,National,Ecuador,Traslado Primer Grito de Independencia,False,1,3.1614611147717646
2017-08-12,56432,2993762,1,BEAUTY,3.0,1,Quito,Pichincha,D,13,48.75537313432836,,,,,,0,3.1594974316942763
2017-08-13,56465,2995544,1,BEAUTY,1.0,0,Quito,Pichincha,D,13,48.1544776119403,,,,,,0,3.1575349683221994
2017-08-14,56498,2997326,1,BEAUTY,6.0,1,Quito,Pichincha,D,13,47.59,,,,,,0,3.155573723897936
2017-08-15,56531,2999108,1,BEAUTY,4.0,1,Quito,Pichincha,D,13,47.57,Holiday,Local,Riobamba,Fundacion de Riobamba,False,1,3.153613697664359
2017-07-31,56037,2972379,1,BEVERAGES,2414.0,24,Quito,Pichincha,D,13,50.21,,,,,,0,2120.525869550399
2017-08-01,56070,2974161,1,BEVERAGES,2627.0,26,Quito,Pichincha,D,13,49.19,,,,,,0,1944.888479534606
2017-08-02,56103,2975943,1,BEVERAGES,2645.0,25,Quito,Pichincha,D,13,49.6,,,,,,0,2190.333798208497
2017-08-03,56136,2977725,1,BEVERAGES,2037.0,7,Quito,Pichincha,D,13,49.03,,,,,,0,1976.546968284198
2017-08-04,56169,2979507,1,BEVERAGES,2479.0,10,Quito,Pichincha,D,13,49.57,,,,,,0,2059.270498983826
2017-08-05,56202,2981289,1,BEVERAGES,2093.0,7,Quito,Pichincha,D,13,49.55805970149254,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas,False,1,2104.61146189708
2017-08-06,56235,2983071,1,BEVERAGES,968.0,5,Quito,Pichincha,D,13,49.45955223880597,,,,,,0,1999.0946690284275
2017-08-07,56268,2984853,1,BEVERAGES,2086.0,7,Quito,Pichincha,D,13,49.37,,,,,,0,2089.3032035184824
2017-08-08,56301,2986635,1,BEVERAGES,2418.0,7,Quito,Pichincha,D,13,49.07,,,,,,0,2055.552340363814
2017-08-09,56334,2988417,1,BEVERAGES,2311.0,7,Quito,Pichincha,D,13,49.59,,,,,,0,2034.9923666812872
2017-08-10,56367,2990199,1,BEVERAGES,2377.0,6,Quito,Pichincha,D,13,48.54,Holiday,National,Ecuador,Primer Grito de Independencia,True,1,2080.2685512764833
2017-08-11,56400,2991981,1,BEVERAGES,1006.0,3,Quito,Pichincha,D,13,48.81,Transfer,National,Ecuador,Traslado Primer Grito de Independencia,False,1,2042.1641675866222
2017-08-12,56433,2993763,1,BEVERAGES,1659.0,7,Quito,Pichincha,D,13,48.73716417910448,,,,,,0,2055.8441811969733
2017-08-13,56466,2995545,1,BEVERAGES,803.0,5,Quito,Pichincha,D,13,48.13626865671642,,,,,,0,2065.067099007491
2017-08-14,56499,2997327,1,BEVERAGES,2201.0,9,Quito,Pichincha,D,13,47.59,,,,,,0,2045.5902210297193
2017-08-15,56532,2999109,1,BEVERAGES,1942.0,11,Quito,Pichincha,D,13,47.57,Holiday,Local,Riobamba,Fundacion de Riobamba,False,1,2061.618106601799
